nut
3133.2
385.0
136.7
127.2
212.6
60.1
25.7
195.1
19.6
2564.7
96.0
-1068.8
-147.2
-35.3
-42.4
-76.8
-25.3
-7.9
-15.7
-7.0
-946.8
0.0
